ministerio,cargo,funcionario,url
Ministro de Obras Públicas y Financiamiento,Subsecretario de Vivienda,César Spaletti,http://www.cba.gov.ar/reparticion/ministerio-de-obras-pubicas-y-financiamiento/
Ministro de Salud,Director General de Acción Social,Norberto Emilio Martínez,http://www.cba.gov.ar/reparticion/ministerio-de-salud/
Ministro de Salud,Director General de Capacitación y Formación en Salud,Sergio Victorio Metrebian,http://www.cba.gov.ar/reparticion/ministerio-de-salud/
Ministro de Salud,Director General de Compras y Contrataciones,José María Cittadini,http://www.cba.gov.ar/reparticion/ministerio-de-salud/
Ministro de Salud,Director General de Enfermedades Crónicas no Transmisibles,Leonardo Luís Mongi,http://www.cba.gov.ar/reparticion/ministerio-de-salud/
Ministro de Salud,Director General de Infraestructura,Adrián  Danieli,http://www.cba.gov.ar/reparticion/ministerio-de-salud/
Ministro de Salud,Director General Legal y Técnico,José Andrés Ahun Frau,http://www.cba.gov.ar/reparticion/ministerio-de-salud/
Ministro de Salud,Directora General de Gestión Sanitaria,María Pía Guidetti,http://www.cba.gov.ar/reparticion/ministerio-de-salud/
Ministro de Salud,Ministro de Salud,Francisco José Fortuna,http://www.cba.gov.ar/reparticion/ministerio-de-salud/
Ministro de Salud,Secretaria de Coordinación y Gestión Administrativa,Alejandro Gauto,http://www.cba.gov.ar/reparticion/ministerio-de-salud/
Ministro de Salud,Secretaria de Prevención y Promoción de la Salud,Analía Cudolá,http://www.cba.gov.ar/reparticion/ministerio-de-salud/
Ministro de Salud,Secretario de Prevención y Asistencia de las Adicciones,Darío Gigena Parker ,http://www.cba.gov.ar/reparticion/ministerio-de-salud/
